code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
CHV,010,Chanvre - Dacia Secuieni,01.16.19.2,Chanvre,1
CHV,011,Chanvre - Delta-405,01.16.19.2,Chanvre,1
CHV,012,Chanvre - Delta-Ilosa,01.16.19.2,Chanvre,1
CHV,015,Chanvre - Dioicia 88,01.16.19.2,Chanvre,1
CHV,016,Chanvre - Epsilon 68,01.16.19.2,Chanvre,1
CHV,017,Chanvre - Fedora 17,01.16.19.2,Chanvre,1
CHV,018,Chanvre - Felina 32,01.16.19.2,Chanvre,1
CHV,020,Chanvre - Fibranova,01.16.19.2,Chanvre,1
CHV,021,Chanvre - Fibrol,01.16.19.2,Chanvre,1
CHV,022,Chanvre - Finola,01.16.19.2,Chanvre,1
CHV,023,Chanvre - Futura 75,01.16.19.2,Chanvre,1
CHV,024,Chanvre - Férimon,01.16.19.2,Chanvre,1
CHV,025,Chanvre - Ivory,01.16.19.2,Chanvre,1
CHV,026,Chanvre - KC Dora,01.16.19.2,Chanvre,1
CHV,027,Chanvre - KC Virtus,01.16.19.2,Chanvre,1
CHV,028,Chanvre - KC Zuzana,01.16.19.2,Chanvre,1
CHV,029,Chanvre - Kompolti,01.16.19.2,Chanvre,1
CHV,030,Chanvre - Kompolti hibrid TC,01.16.19.2,Chanvre,1
CHV,031,Chanvre - Lipko,01.16.19.2,Chanvre,1
CHV,032,Chanvre - Lovrin 110,01.16.19.2,Chanvre,1
CHV,033,Chanvre - Marcello,01.16.19.2,Chanvre,1
CHV,034,Chanvre - Markant,01.16.19.2,Chanvre,1
CHV,035,Chanvre - Monoica,01.16.19.2,Chanvre,1
CHV,036,Chanvre - Rajan,01.16.19.2,Chanvre,1
CHV,037,Chanvre - Santhica 23,01.16.19.2,Chanvre,1
CHV,038,Chanvre - Santhica 27,01.16.19.2,Chanvre,1
CHV,039,Chanvre - Santhica 70,01.16.19.2,Chanvre,1
CHV,040,Chanvre - Secuieni Jubileu,01.16.19.2,Chanvre,1
CHV,041,Chanvre - Silvana,01.16.19.2,Chanvre,1
CHV,043,Chanvre - Tiborszallasi,01.16.19.2,Chanvre,1
CHV,044,Chanvre - Tisza,01.16.19.2,Chanvre,1
CHV,045,Chanvre - Tygra,01.16.19.2,Chanvre,1
CHV,046,Chanvre - Uniko B,01.16.19.2,Chanvre,1
CHV,047,Chanvre - Uso-31,01.16.19.2,Chanvre,1
CHV,048,Chanvre - Wielkopolskie,01.16.19.2,Chanvre,1
CHV,049,Chanvre - Wojko,01.16.19.2,Chanvre,1
CHV,050,Chanvre - Zenit,01.16.19.2,Chanvre,1
CHV,052,Chanvre - Asso,01.16.19.2,Chanvre,1
CHV,053,Chanvre - Camaleonte,01.16.19.2,Chanvre,1
CHV,054,Chanvre - Eletta Campana,01.16.19.2,Chanvre,1
CHV,055,Chanvre - KC Bonusz,01.16.19.2,Chanvre,1
CHV,056,Chanvre - Ratza,01.16.19.2,Chanvre,1
CHV,057,Chanvre - Adzelviesi,01.16.19.2,Chanvre,1
CHV,058,Chanvre - Fibrante,01.16.19.2,Chanvre,1
CHV,059,Chanvre - Fibror 79,01.16.19.2,Chanvre,1
CHV,060,Chanvre - Glyana,01.16.19.2,Chanvre,1
CHV,061,Chanvre - Henola,01.16.19.2,Chanvre,1
CHV,062,Chanvre - Succesiv,01.16.19.2,Chanvre,1
CHV,063,Chanvre - Villanova,01.16.19.2,Chanvre,1
CHV,064,Chanvre - Austa SK,01.16.19.2,Chanvre,1
CHV,065,Chanvre - Earlina 8 FC,01.16.19.2,Chanvre,1
CHV,066,Chanvre - Glecia,01.16.19.2,Chanvre,1
CHV,067,Chanvre - Gliana,01.16.19.2,Chanvre,1
CHV,068,Chanvre - KCA Borana,01.16.19.2,Chanvre,1
CHV,069,Chanvre - Balaton,01.16.19.2,Chanvre,1
CHV,071,Chanvre - Futura 83,01.16.19.2,Chanvre,1
CHV,072,Chanvre - Orion 33,01.16.19.2,Chanvre,1
CHV,074,Chanvre - Teodora,01.16.19.2,Chanvre,1
CHV,075,Chanvre - MGC 1013,01.16.19.2,Chanvre,1
CHV,076,Chanvre - Helena,01.16.19.2,Chanvre,1
CHV,077,Chanvre - Marina,01.16.19.2,Chanvre,1
CHV,078,Chanvre - Matrix,01.16.19.2,Chanvre,1
CHV,079,Chanvre - Mietko,01.16.19.2,Chanvre,1
CHV,080,Chanvre - Olivia,01.16.19.2,Chanvre,1
CHV,081,Chanvre - Purini,01.16.19.2,Chanvre,1
CHV,082,Chanvre - Sofia,01.16.19.2,Chanvre,1
CHV,083,Chanvre - Muka 76,01.16.19.2,Chanvre,1
CHV,084,Chanvre - Alive SK,01.16.19.2,Chanvre,1
CHV,085,Chanvre - Estica,01.16.19.2,Chanvre,1
CHV,086,Chanvre - Fiona,01.16.19.2,Chanvre,1
CHV,087,Chanvre - Loja,01.16.19.2,Chanvre,1
CHV,088,Chanvre - Mara 21,01.16.19.2,Chanvre,1
CHV,089,Chanvre - AMX,01.16.19.2,Chanvre,1
CHV,090,Chanvre - CFX-2,01.16.19.2,Chanvre,1
CHV,091,Chanvre - CRS-1,01.16.19.2,Chanvre,1
CHV,092,Chanvre - Djumbo 20,01.16.19.2,Chanvre,1
CHV,093,Chanvre - Enectarol,01.16.19.2,Chanvre,1
CHV,094,Chanvre - Fukal,01.16.19.2,Chanvre,1
CHV,095,Chanvre - Midwest,01.16.19.2,Chanvre,1
CHV,096,Chanvre - Nashinoïde 15,01.16.19.2,Chanvre,1
CHV,097,Chanvre - Northwest,01.16.19.2,Chanvre,1
CHV,098,Chanvre - OGK,01.16.19.2,Chanvre,1
CHV,099,Chanvre - Ostara 9,01.16.19.2,Chanvre,1
CHV,100,Chanvre - Pain killer,01.16.19.2,Chanvre,1
CHV,101,Chanvre - Stara Preksmurka,01.16.19.2,Chanvre,1
CHV,102,Chanvre - Strawberry H,01.16.19.2,Chanvre,1
