Code,Libellé,Synonymes,Couleur,Catégorie,Statut,Experimental,Commentaire,Délimitation Géographique
341,RODI RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1673,PETIT VERDOT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1431,MUSCADELLE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2641,SYLVANER ROUGE RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1551,POULSARD BLANC B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2409,RIVAIRENC GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
2408,RIVAIRENC BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
107,AHMEUR B AHMEUR RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1451,MUSCAT DE COLMAR BLANC B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
1693,PERDEA B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2661,VALENTIN B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
241,PRUNE DE CAZOULS N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1571,SAVAGNIN BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
8083,VILLARD NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1450,MUSCATS DIV.CUV.,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
237,PRECOCE MALINGRE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1447,MUSCAT D'ALEXANDRIE B,non,Blanc,Mixte,valide depuis le 01/01/1900,Non,délimitation départementale ajoutée,Oui
117,BICANE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1205,FOLIGNAN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1689,LILIORILA B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2415,ROUSSANNE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2657,MALIVERNE,non,Indetermine,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1567,SAUVIGNON GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
1445,MUSCAT DE HAMBOURG N,non,Noir,Mixte,valide depuis le 01/01/1900,Non,délimitation départementale ajoutée,Oui
115,ASPIRAN NOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2655,NEBIOLO PIEMONT N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2413,ROUBLOT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1565,SAUVIGNON ROUGE RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1685,ARINARNOA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2411,ROMORANTIN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2653,DOLCETTO N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1443,MONERAC N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1201,FOLLE BLANCHE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2410,RIVAIRENC N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1563,SAUVIGNON ROSE RS,non,Rose,Multiplication,supprimé depuis le 01/01/1900,Non,,Non
1321,COT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
231,PANSE PROVENCE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1683,EGIODOLA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1441,MELON B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2651,GRASSEN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2419,ROUSSANNE VAR RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2417,SACY B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
