code_isapv,code_cpfbio
ZMC I36,01.19.31
ZMI ZFA,01.11.43
ZMI ZFB,01.11.43
ZMI I36,01.11.00.1
G72,01.19.21
ZMJ,01.28.30.44
G73,01.28.18
G74,01.28.30.45
G75,01.28.30.45
G76,01.28.30.45
G77,01.28.30.83
G78,01.19.10.9
ZMK ZFB,01.19.10.9
ZMK I36,01.19.31
ZMK ZFA,01.19.10.9
ZML,01.19.10.9
G79,01.19.10.9
ZMM,01.19.10.9
G80,01.19.10.9
G81,01.19.10.9
ZMN,01.19.10.9
ZMO,01.21.12
ZMO I30,01.21.11
G82,01.28.00.99
G83,01.28.00.99
G84,01.28.00.99
G85,01.19.10.9
G86,01.19.10.9
G87,01.19.10.9
I48,01.13.49.9
G88,01.19.21
ZCLZER,01.16.19.1
ZCQ I36I41,01.19.31
