code_production,libelle_cpf,lbl_production,précisions,indicateur,mesure,nomenclature,actif,lien_code,lien_direct,type,activites,sous_groupe,groupe
01.13.90.1,Légumes frais sous abris,Maraîchage diversifié sous abris,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Maraîchage diversifié et champignons,Légumes
01.13.90.2,Légumes frais plein champ,Maraîchage diversifié plein champ,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Maraîchage diversifié et champignons,Légumes
01.14.1,Cannes à sucre,Canne à sucre,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Cultures industrielles,Autres surfaces
01.15.1,Tabac brut,Tabac brut,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Cultures industrielles,Autres surfaces
01.16.11,"Coton, égrené ou en masse",Coton,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Cultures industrielles,Autres surfaces
01.16.19.1,Lin fibre,Lin textile,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Cultures industrielles,Autres surfaces
01.16.19.2,Chanvre,Chanvre textile,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Cultures industrielles,Autres surfaces
01.16.19.9,Autres plantes textiles,Autre plante textile,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Cultures industrielles,Autres surfaces
01.19.10.11,Prairie temporaire,Prairie temporaire,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Prairies, parcours",Surfaces fourragères
01.19.10.12,Prairie permanente,Prairie permanente,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Prairies, parcours",Surfaces fourragères
01.19.10.13,Parcours herbeux (hors estives collectives),Parcours herbeux,"Y compris vergers peu productifs pâturés, hors estives collectives",Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Prairies, parcours",Surfaces fourragères
01.19.10.14,Parcours porc ou volaille,Parcours porc ou volaille,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,"Prairies, parcours",Surfaces fourragères
01.19.10.2,Betterave fourragère,Betterave fourragère,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.21,Sainfoin,Sainfoin,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.3,Choux fourrager,Chou fourrager,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.4,Colza fourrager,Colza fourrager,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.5,Maïs fourrager,Maïs fourrager,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.6,Mélanges fourragers,Mélange fourrager,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.7,Trèfle,Trèfle,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.8,Luzerne,Luzerne,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,Autre plante fourragère,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Plantes fourragères,Surfaces fourragères
01.19.21,Fleurs coupées et boutons de fleurs,Fleurs,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Autres productions végétales,Autres surfaces
01.19.22,Semences florales,Semences florales,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.19.31,Semences de betteraves (à l'exclusion des semences de betteraves à sucre) et de plantes fourragères,Semences de plantes fourragères,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.21.11,Raisin de table,Raisin de table (vigne),,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Viticulture,Viticulture
01.21.12,Raisin de cuve,Raisin de cuve (vigne),,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Viticulture,Viticulture
01.22.11,Avocats,Avocat,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.22.12,"Bananes, bananes plantains et assimilés",Banane,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.13,Dattes,Datte,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.14,Figues,Figue,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.1,Ananas,Ananas,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.2,Grenades,Grenade,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.3,Papayes,Papaye,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.4,Fruits du Jaquier (durian),Fruit du Jacquier,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.5,Fruits de la passion,Fruit de la passion,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.6,Mangues,Mangue,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.7,Kakis,Kaki,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.8,Litchis (letchis),Litchi,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.22.19.9,Autres fruits tropicaux et subtropicaux n.c.a.,Autre fruit tropical et subtropical,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits tropicaux et subtropicaux,Fruits
01.23.11,Pomelos et pamplemousses,Pamplemousse et pomelo,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Agrumes,Fruits
01.23.12,Citrons et limes,Citron et lime,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Agrumes,Fruits
01.23.13,Oranges,Orange,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Agrumes,Fruits
01.23.14,Mandarines et clémentines,Mandarine et clémentine,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Agrumes,Fruits
01.23.19,Autres agrumes,Autre agrume,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Agrumes,Fruits
01.24.10.1,Pommes à cidre,Pomme à cidre,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.10.2,Pommes de table,Pomme de table,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.21,Poires,Poire,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.22,Coings,Coing,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.23,Abricots,Abricot,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.24,Cerises,Cerise,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.25,Pêches,Pêche,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.26,Nectarines,Nectarine,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.27,Prunes,Prune,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.27.1,Prunes d'ente,Prune d'Ente,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.28,Prunelles,Prunelle,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.29.1,Autres fruits à pépins,Autre fruit à pépins,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.24.29.2,Autres fruits à noyau,Autre fruit à noyaux,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Fruits à pépins et à noyaux,Fruits
01.25.11,Kiwis,Kiwi,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Baies,Fruits
01.25.12,Framboises,Framboise,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Baies,Fruits
01.25.13,Fraises,Fraise,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Baies,Fruits
01.25.19.1,Cassis,Cassis,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Baies,Fruits
01.25.19.2,Myrtilles,Myrtille,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Baies,Fruits
01.25.19.4,Airelles,Airelle,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Baies,Fruits
01.25.19.5,Groseilles,Groseille,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Baies,Fruits
01.25.19.9,Autres baies (hors cassis et myrtilles),Autre baie,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Baies,Fruits
01.25.2,Semences fruitières,Semences fruitières,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.25.31,Amandes,Amande,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
